1	1	1653332	2745570
2	1	2945570	3625912
3	1	26784912	27784913
4	1	37700910	38961319
5	1	54455252	56005647
6	1	56005647	57516131
7	1	58522420	59933354
8	1	108902118	110317590
9	1	113575254	114673410
10	1	115402513	116402514
11	1	149495264	150272037
12	1	150272037	151250000
13	1	153919842	154919843
14	1	168661200	169814833
15	1	174913314	175130983
16	1	199865359	201055233
17	1	210168998	210768999
18	1	222325640	223328704
19	2	19442472	20442473
20	2	20442473	21786057
21	2	43574430	44574431
22	2	45396436	46396437
23	2	60119027	61119028
24	2	85174056	86262048
25	2	127998230	129285663
26	2	143493750	144600000
27	2	144600000	145500000
28	2	145500000	147000000
29	2	147100000	148777860
30	2	163988314	165430382
31	2	202449385	203400000
32	2	203400000	204530000
33	2	203400000	204530000
34	2	215799628	216799629
35	2	218183153	219183154
36	2	226505703	227562080
37	2	229512075	230512076
38	2	233022944	233845691
39	3	14041187	15426351
40	3	45994205	47600000
41	3	47600000	48900000
42	3	48900000	50249705
43	3	52348206	53348207
44	3	123953021	124953022
45	3	135102256	136687638
46	3	135102256	136687638
47	3	137592888	138592889
48	3	153353578	154437753
49	3	156352591	157352592
50	3	171617454	172617455
51	4	54072065	55072066
52	4	57281753	58281754
53	4	76912228	77916627
54	4	80681071	81681072
55	4	81681072	83125720
56	4	120000000	120600000
57	4	120600000	121409501
58	4	145504485	147284774
59	4	147284774	148901190
60	4	155746400	157138073
61	4	169187999	170188000
62	5	9152337	9952338
63	5	51563636	52593125
64	5	55360865	56360866
65	5	74156538	75156539
66	5	107585189	108585190
67	5	117918261	118648279
68	5	121061749	121661750
69	5	127514865	128514866
70	5	131295309	132295310
71	5	141470577	141700000
72	5	142100000	142994165
73	6	1052884	2117327
74	6	11274582	12274583
75	6	12274583	13403957
76	6	21893909	23112629
77	6	30900000	31600000
78	6	31600000	32385930
79	6	34293123	35293124
80	6	35293124	36028690
81	6	38671861	39671862
82	6	42076691	43258872
83	6	43258872	44258873
84	6	56246101	57645562
85	6	82095958	83095959
86	6	96529870	97529871
87	6	126178330	127178331
88	6	133334680	134702690
89	6	148928062	150240580
90	6	150440580	151308837
91	6	159380605	161990118
92	7	1579842	2179843
93	7	5946026	6946027
94	7	11537999	12751790
95	7	18333182	19449388
96	7	19549388	20800416
97	7	34451217	35777093
98	7	44164418	45577978
99	7	106544544	107744545
100	7	113215943	114787116
101	7	116045839	117600046
102	7	129163495	130163496
103	7	138798056	140260540
104	7	149887626	151190176
105	8	17760261	18560431
106	8	19365746	20365747
107	8	21494363	22448490
108	8	24753754	25365929
109	8	94486166	95778307
110	8	125978449	126978450
111	9	13224050	14224051
112	9	18831340	19936055
113	9	21598618	22598619
114	9	110030323	111030324
115	9	112669774	113669775
116	9	123420486	123420172
117	9	123920172	124920173
118	9	135277297	136653875
119	10	11824309	12275947
120	10	29562155	30817073
121	10	44241255	45241256
122	10	81728069	82762826
123	10	89960748	91507360
124	10	95528137	96529170
125	10	99543693	99926271
126	10	104276204	105276205
127	10	105276205	106143223
128	10	123368849	124730750
129	11	5393554	6001074
130	11	9262273	10062274
131	11	10062274	11245394
132	11	12716974	13395751
133	11	31880520	32880521
134	11	64382204	65905600
135	11	74777627	75777628
136	11	100093537	101093538
137	11	102291235	103291236
138	11	103291236	104173294
139	11	109363357	110444360
140	11	116148916	117148917
141	11	118649330	119249331
142	11	119749331	120563937
143	11	125862637	126662638
144	12	6195675	7678440
145	12	19720032	20720033
146	12	53616484	55021594
147	12	57027282	58027283
148	12	89508958	90508959
149	12	94672070	96007971
150	12	110860289	111660290
151	12	111660290	113676501
152	12	115153367	115553368
153	12	120604035	121916988
154	12	123955817	124955818
155	12	124955818	125815647
156	13	28462685	29462686
157	13	32626073	33626074
158	13	98878730	99934810
159	13	110479918	111549623
160	13	113405795	113818496
161	14	74946878	75946879
162	14	94538141	95138142
163	14	99623486	100623487
164	15	58131792	59130498
165	15	66888113	67955630
166	15	78641783	79641784
167	15	80911769	81685552
168	15	89065256	90065257
169	15	90928588	91928589
170	15	95646413	96646414
171	16	14750364	16309513
172	16	56369375	57487015
173	16	71465613	72552348
174	16	74841910	75942143
175	16	81231011	82407867
176	16	82407867	83545790
177	16	86180551	86899186
178	17	1568931	2350000
179	17	2350000	2950000
180	17	17180737	18226965
181	17	27438423	28438424
182	17	39770080	41287764
183	17	44189855	45473199
184	17	45473199	46373200
185	17	46373200	47917942
186	17	58739258	59739259
187	17	61892402	62892403
188	17	65704999	66969400
189	17	73389818	74141285
190	17	76478439	77013843
191	18	19509690	20509691
192	18	46015915	47015916
193	18	47015916	47713682
194	18	55945260	57460510
195	18	57460510	58352587
196	19	7815376	8929323
197	19	10688116	11688117
198	19	16919104	17519105
199	19	17719105	18329608
200	19	18329608	19075193
201	19	41051321	42290086
202	19	44912078	45912079
203	19	45912079	46801479
204	20	17496154	17696155
205	20	32801103	34359264
206	20	38640357	39424278
207	20	39424278	40424279
208	20	44108900	45108901
209	20	46604871	47933150
210	20	57239468	58239469
211	21	35093826	36093827
212	22	19460183	20460184
213	22	24122267	25177831
214	22	30169882	31169883
215	22	43323971	43923972
